character,unique words
Network Anchor,65
Sidney Poitier,65
SNN reporter,65
Male,65
Rachel,65
Melita,65
Jesus' Producer,65
Vernon,64
Member 3,64
Nick Nolte,64
Pirate 4,64
The Dragon,64
Supporters,64
Elder Schwartz,64
Robber 1,64
U.S. Army Official,64
TupperWear,64
Paolo Captain,63
Agent 4,63
Britain,63
Peter Panda,63
Clerk 1,63
Train Conductor,63
Attendant 1,63
Foxy,63
Frank Hammond,62
KIT-9,62
Al Roker,62
Heather,62
Carrot Ass,62
Specialist 3,62
Supporter 1,62
Postman,62
Pink Hare,62
Kyle Broflovski,62
Official 2,62
M. Night Shyalaman,62
Beary Bear,62
Gandalf,61
The Males,61
Beelzeboot,61
Kale,61
Fireman 1,61
Larson,61
Agent Keen,61
A British person,61
Male 1,61
Odd Boy,61
Laborer 2,61
Younger man,61
KFC Exec,60
Horatio,60
Left,60
The Males (Randy),60
Copilot,60
Gary Condit,60
Trey Parker,60
Attendant,60
Mrs.McCormick,60
Umpire 2,60
The Situation,59
Polly Prissy Pants,59
Girls' Table,59
Carson,59
Hopkins,59
Passenger 1,59
Stephen Tamil,59
Stripper,59
Afghan Boys,59
Lamb Chop,59
Laborer 5,59
Milly,59
Crewman 1,59
The Human Kite,59
Emperor Hirohito,59
Lucas,58
Student 1,58
Radio Host,58
Jerry Sanders,58
Kobe Bryant,58
Regis,58
Kurt's hologram,58
Asian Reporter,58
Thad,58
Detective 3,58
Obese Woman,58
Senator 2,58
Lion Cub 2,58
Lion Cub 1,58
P-Train,58
AAA Leader,58
Orator 2,58
Pat O'Brien,58
Taco Bell Exec,58
Cop 1,58
Jack Brolin,58
Miley Cyrus,58
Patron 3,58
Gelgamek Cardinal,57
Luke,57
Murderin' Murphy,57
Miller,57
Pirate 5,57
Commentator 2,57
Muscleman Marc,57
Lead Alien,57
Leprechaun,57
Jessica,57
Sheila Broflovski,57
Skunky,57
Kal,57
Thin Cop,57
Edge,56
Agent 3,56
Male Psychic 1,56
Tele's Owner,56
Elmo,56
Chase,56
Maintenance Guy,56
The boys,56
Zazul,56
Angel 3,56
Schwartz,56
Purity Boy 1,56
Lab Tech 1,56
Pilgrim,55
Ranger,55
Red Cross Dude,55
Congregation,55
Guest,55
Tracy,55
Judge 1,55
David Letterman,55
Orator 1,55
Joint,55
Mailman and Kids,55
Nick,55
UAA Woman,55
Lucy,54
Charise,54
Hippie 2,54
Shopper 1,54
French Delegate,54
Layman,54
Volunteer 3,54
Older Louse,54
Case Worker,54
TSA Agent 2,54
OC Members,54
Mr. Tuong,54
DMV Official,54
Squirt,54
Center,54
Army Official,54
Morgan,54
Zytar,53
EOD Leader,53
HC Driver 7,53
Crab Leader,53
Assemblywoman 2,53
A Woman,53
Porcupiney,53
Tech 2,53
Tommy,53
Shopper 3,52
News Reporter,52
Man 14,52
Taller Boy,52
Hillary Clinton,52
Lead Ginger,52
Man on Porto Potty,52
Male Host,52
Short Reporter,52
Quadraplegic Swiss man,52
Cartmans/Boys,52
Fans,52
Mrs. Brooks,52
Female announcer,52
BUDS Man,52
Richardson,52
Delivery Man,51
Adams County,51
Voice Notification,51
Congressman 2,51
Marc,51
Caller,51
Human Wendy,51
Stinky,51
Dr. Tonton,51
Construction Worker,51
Zeus,50
The Minotaur,50
Chef Actor,50
Lois,50
Joe Strummer,50
Band Member 1,50
Sawitzky,50
Soldier 4,50
Lady Member 2,50
Vanessa,50
Reporter 4,50
Japanese woman,50
Japan,50
Gang Members,50
Cleric 3,50
Page,50
Fat Man,50
Teen Girl 1,49
Tape,49
Sparkly Vampire,49
Teen 2,49
Mrs. Garrsion,49
Head Adventurer,49
Member 7,49
Alarm,49
Roma,49
Swiss Delegate,49
Bum,49
Kid,49
Choir Boy,49
TSA Agent 1,49
Teen girl,49
Karin,49
Crab Man 2,49
Les Claypool,48
The Girls,48
Seniors,48
Big Stan,48
Neo,48
Trapper Keeper,48
Broker,48
Moderator,48
Drew,47
Wolf Blitzer,47
Miner 3,47
Campers,47
A Santa,47
Guest Speaker,47
DJ AM,47
DC Captain,47
Geologist 2,47
Treasurer 2,47
Choir Girl,47
Townsman 2,47
Driver 1,47
Everyone,47
Brunet Trekker,47
Mrs. Tucker,47
Bearded PeTA Member,47
Shelley,47
Stephen Stotch,47
Goat,47
FBI Leader,47
Ghetto Avenue Boys,47
Shopper 6,46
Registrar,46
Top Official 2,46
Indy,46
Meat Loaf,46
Elderly Driver,46
Police Chief Stevens,46
Finland,46
Blackjack Dealer,46
Harold,46
An Expert,46
Frankenstein Alien,46
Stu,46
Lady Judge,46
Tea Bag Participant,46
Chauffeur,46
Man With No Face,46
Chief Elder,46
Policeman 1,46
UAA Member 1,45
Pirate voice,45
Worker 4,45
Installer,45
Leroy,45
Senator 3,45
Cowboy,45
M,45
Stingray Announcer,45
Chorus,45
Mrs. Appleby,45
Midget,45
Butt Out! Lady,45
Barbrady Actor,45
Tour Guide 2,45
Pricipal Victoria,45
Tom Johansen,45
Posse,44
Hotline Man,44
Male Nurse,44
